name,name_id,lat,lng,outcome_identifyletter,outcome_read4words,outcome_recog_symbol,outcome_pickupthing_2finger,outcome_dothing_independent,outcome_getawother,earlyc_edu,has_hometoy,melevel,total,2013,2014,2015,2016,2017,2018,Total,outcome_identifyletter_r,outcome_read4words_r,outcome_recog_symbol_r,outcome_pickupthing_2finger_r,outcome_dothing_independent_r,outcome_getawother_r,earlyc_edu_r,has_hometoy_r
Belize,BLZ,17.189877,-88.49765,652,406,674,1019,931,966,628,339,2.79,1068,0,0,1049,4,0,0,1053,0.61,0.38,0.63,0.95,0.87,0.9,0.59,0.32
Benin,BEN,9.30769,2.315834,492,390,610,4332,3370,4385,772,2544,1.57,4812,0,4785,0,0,0,0,4785,0.1,0.08,0.13,0.9,0.7,0.91,0.16,0.53
Cameroon,CMR,7.369722,12.354722,591,297,661,2592,1977,2645,859,1371,2.33,2778,0,2749,0,0,0,0,2749,0.21,0.11,0.24,0.93,0.71,0.95,0.31,0.49
Congo,COD,-4.038333,21.758664,409,338,696,3173,2486,3179,834,1564,2.83,3586,0,1610,1931,0,0,0,3541,0.11,0.09,0.19,0.88,0.69,0.89,0.23,0.44
Cote d Ivoire,CIV,7.539989,-5.54708,209,226,269,3310,2744,3335,390,1444,1.48,3664,0,0,0,3623,0,0,3623,0.06,0.06,0.07,0.9,0.75,0.91,0.11,0.39
Cuba,CUB,21.521757,-77.781167,619,248,943,2082,2107,2114,1601,1918,3.65,2161,0,2161,0,0,0,0,2161,0.29,0.11,0.44,0.96,0.98,0.98,0.74,0.89
Dominican Republic,DOM,18.735693,-70.162651,1582,1134,2874,7189,7301,7252,2705,3499,2.92,7691,0,7472,0,0,0,0,7472,0.21,0.15,0.37,0.93,0.95,0.94,0.35,0.45
El Salvador,SLV,13.794185,-88.89653,635,364,991,2781,2760,2802,781,553,2.89,2965,0,2921,0,0,0,0,2921,0.21,0.12,0.33,0.94,0.93,0.95,0.26,0.19
Guinea,GIN,9.945587,-9.696645,227,238,229,2459,2081,2635,264,1200,1.46,3138,0,0,0,3025,0,0,3025,0.07,0.08,0.07,0.78,0.66,0.84,0.08,0.38
Guinea Bissau,GNB,11.8037,15.1804,231,100,244,1838,2168,2278,286,1025,1.57,2932,0,2778,0,0,0,0,2778,0.08,0.03,0.08,0.63,0.74,0.78,0.1,0.35
Guyana,GUY,4.860416,-58.93018,863,620,820,1175,1122,1166,765,701,3.33,1272,0,1222,0,0,0,0,1222,0.68,0.49,0.64,0.92,0.88,0.92,0.6,0.55
Iraq,IRQ,33.223191,43.679291,924,614,1525,6334,5447,6423,210,1677,2.43,6927,0,0,0,0,0,6840,6840,0.13,0.09,0.22,0.91,0.79,0.93,0.03,0.24
Kazakhstan,KAZ,48.019573,66.923684,684,200,1306,2146,2063,2093,1303,470,2.94,2207,0,0,2152,0,0,0,2152,0.31,0.09,0.59,0.97,0.93,0.95,0.59,0.21
Kenya,KEN,-0.023559,37.906193,310,190,353,907,714,994,405,591,2.08,1108,665,395,0,0,0,0,1060,0.28,0.17,0.32,0.82,0.64,0.9,0.37,0.53
Kyrgyzstan,KGZ,41.20438,74.766098,481,83,1456,3080,2669,2992,1048,1201,3.62,3207,0,1766,0,0,0,1430,1430,0.15,0.03,0.45,0.96,0.83,0.93,0.33,0.37
Laos,LAO,19.85627,102.495496,1138,1034,1573,4554,4176,4477,1070,2458,2.63,4681,0,0,0,0,3061,0,3061,0.24,0.22,0.34,0.97,0.89,0.96,0.23,0.53
Malawi,MWI,-13.254308,34.301525,1856,1024,1523,6507,4444,6840,2942,3999,2.13,7620,1535,5964,0,0,0,0,7499,0.24,0.13,0.2,0.85,0.58,0.9,0.39,0.52
Mali,MLI,17.570692,-3.996166,525,738,639,5351,4702,5704,349,3902,1.36,6406,0,0,6274,0,0,0,6274,0.08,0.12,0.1,0.84,0.73,0.89,0.05,0.61
Mauritania,MRT,21.00789,-10.940835,1573,1187,887,3391,3163,3528,567,1580,2.5,4308,0,0,4105,0,0,0,4105,0.37,0.28,0.21,0.79,0.73,0.82,0.13,0.37
Mexico,MEX,23.634501,-102.552784,981,455,1368,3219,3169,3156,1990,1216,3.32,3341,0,0,3317,0,0,0,3317,0.29,0.14,0.41,0.96,0.95,0.94,0.6,0.36
Mongolia,MNG,46.862496,103.846656,366,73,915,2811,2637,2606,2131,966,4.16,2881,2230,0,0,580,0,0,2810,0.13,0.03,0.32,0.98,0.92,0.9,0.74,0.34
Montenegro,MNE,42.708678,19.37439,172,124,385,830,852,879,275,324,1.93,926,863,0,0,0,0,0,863,0.19,0.13,0.42,0.9,0.92,0.95,0.3,0.35
Nepal,NPL,28.394857,84.124008,602,547,706,2104,1628,2106,1129,1415,2,2230,0,0,958,1258,0,0,2216,0.27,0.25,0.32,0.94,0.73,0.94,0.51,0.63
Nigeria,NGA,9.081999,8.675277,3897,2783,4077,8981,7500,10146,4435,6318,2.92,11404,0,0,0,10298,835,0,11133,0.34,0.24,0.36,0.79,0.66,0.89,0.39,0.55
Pakistan,PAK,30.375321,69.345116,8717,8182,8802,30602,27390,30833,9055,12714,2.18,33838,0,17596,0,0,1780,13858,33234,0.26,0.24,0.26,0.9,0.81,0.91,0.27,0.38
Panama,PAN,8.537981,-80.782127,338,265,632,2168,1909,2075,800,826,2.76,2279,2266,0,0,0,0,0,2266,0.15,0.12,0.28,0.95,0.84,0.91,0.35,0.36
Paraguay,PRY,-23.442503,-58.443832,400,180,737,1649,1676,1608,554,515,3.23,1807,0,0,0,1788,0,0,1788,0.22,0.1,0.41,0.91,0.93,0.89,0.31,0.29
Senegal,SEN,14.497401,-14.452362,284,233,328,1700,1593,1671,747,235,2.04,1788,0,0,1325,423,0,0,1788,0.16,0.13,0.18,0.95,0.89,0.93,0.42,0.13
Serbia,SRB,44.016521,21.005859,549,313,949,1786,1750,1726,629,777,2.88,1806,0,1783,0,0,0,0,1783,0.3,0.17,0.53,0.99,0.97,0.96,0.35,0.43
Sierra Leone,SLE,8.4606,11.7799,1094,554,658,3856,2794,4090,0,2082,1.71,4683,0,0,0,0,4683,0,4683,0.23,0.12,0.14,0.82,0.6,0.87,0,0.44
Suriname,SUR,3.919305,-56.027783,814,408,1038,1589,1544,1517,333,665,3.6,1683,0,0,0,0,0,645,645,0.48,0.24,0.62,0.94,0.92,0.9,0.2,0.4
Swaziland,SWZ,-26.522503,31.465866,199,119,294,935,880,1014,309,608,2.83,1055,0,1018,0,0,0,0,1018,0.19,0.11,0.28,0.89,0.83,0.96,0.29,0.58
Thailand,THA,15.870032,100.992541,4507,2625,4456,5844,5830,5928,5051,3039,2.99,6057,0,0,3950,2071,0,0,6021,0.74,0.43,0.74,0.96,0.96,0.98,0.83,0.5
Tunisia,TUN,33.886917,9.537499,630,294,937,1362,1309,1330,787,505,3.8,1484,0,0,0,0,0,1457,1457,0.42,0.2,0.63,0.92,0.88,0.9,0.53,0.34
Turkmenistan,TKM,38.969719,59.556278,328,76,1030,1460,1341,1480,725,520,4.06,1494,0,0,1406,83,0,0,1489,0.22,0.05,0.69,0.98,0.9,0.99,0.49,0.35
Vietnam,VNM,14.058324,108.2772,331,253,479,1112,951,1154,852,361,2.29,1169,294,858,0,0,0,0,1152,0.28,0.22,0.41,0.95,0.81,0.99,0.73,0.31
Zimbabwe,ZWE,-19.015438,29.1549,406,378,800,3268,2665,3627,881,2177,3.04,3865,0,3650,0,0,0,0,3650,0.11,0.1,0.21,0.85,0.69,0.94,0.23,0.56